Designator,Mid X,Mid Y,Layer,Rotation
C1,133.4000,-73.3000,Top,90
C2,131.6000,-73.1000,Top,90
C3,132.7000,-77.5000,Top,180
C4,171.9000,-83.1000,Top,0
C5,175.7000,-83.1000,Top,180
C6,162.3000,-74.7000,Top,0
C7,162.3000,-80.1000,Top,0
C8,132.7000,-79.0000,Top,180
C9,184.7000,-82.3000,Top,180
C10,184.9000,-80.4000,Top,180
D4,186.5000,-66.5750,Bottom,90
D5,185.0000,-66.5750,Bottom,90
D6,183.5000,-66.5750,Bottom,90
D7,174.7000,-67.5000,Top,0
L1,163.1000,-77.4000,Top,270
Q1,173.9000,-72.9000,Top,180
Q2,132.1000,-85.2000,Top,180
R1,177.5000,-66.6125,Bottom,270
R2,179.0000,-66.6125,Bottom,270
R3,180.5000,-66.6125,Bottom,270
R4,132.7000,-76.0000,Top,0
R5,157.2000,-88.8000,Top,180
R6,169.2000,-78.6000,Top,90
R7,180.7000,-78.7000,Top,0
R8,180.7000,-80.2000,Top,0
R9,178.3000,-73.7000,Top,180
R10,178.3000,-72.2000,Top,0
R11,156.7000,-77.3000,Top,90
R12,132.7000,-82.0000,Top,0
R13,132.7000,-80.5000,Top,0
U1,144.4000,-81.1200,Top,270
U2,173.8000,-79.4000,Top,0
U3,159.6000,-77.4000,Top,0
